date,price
1,149
2,154
3,154
4,154
5,155
6,155
7,155
8,155
9,156
10,156
11,156
12,156
13,157
14,157
15,157
16,157
17,157
18,157
19,157
20,157
21,157
22,157
23,157
24,157
25,158
26,158
27,158
28,158
29,158
30,158
31,158
32,158
33,158
34,158
35,158
36,158
37,158
38,158
39,159
40,159
41,159
42,159
43,159
44,159
45,159
46,159
47,159
48,159
49,159
50,159
51,159
52,160
53,160
54,160
55,160
56,160
57,160
58,160
59,160
60,160
61,160
62,160
63,160
64,160
65,160
66,160
67,161
68,161
69,161
70,161
71,161
72,161
73,161
74,161
75,161
76,161
77,161
78,161
79,161
80,161
81,161
82,161
83,161
84,161
85,161
86,161
87,161
88,161
89,161
90,161
91,161
92,161
93,161
94,161
95,161
96,161
97,161
98,161
99,161
100,161
101,161
102,161
103,161
104,161
105,161
106,161
107,161
108,161
109,161
110,161
111,161
112,161
113,162
114,162
115,162
116,162
117,162
118,162
119,162
120,162
121,162
122,162
123,162
124,162
125,162
126,162
127,162
128,162
129,162
130,162
131,162
132,162
133,162
134,162
135,162
136,162
137,162
138,162
139,162
140,162
141,162
142,162
143,162
144,162
145,162
146,162
147,163
148,163
149,163
150,163
151,163
152,163
153,163
154,163
155,163
156,163
157,163
158,163
159,163
160,163
161,163
162,163
163,163
164,163
165,163
166,163
167,163
168,163
169,163
170,163
171,163
172,163
173,163
174,163
175,163
176,163
177,163
178,163
179,164
180,164
181,164
182,164
183,164
184,164
185,164
186,164
187,164
188,164
189,164
190,164
191,164
192,164
193,164
194,164
195,164
196,164
197,164
198,164
199,164
200,164
201,164
202,164
203,164
204,164
205,164
206,164
207,164
208,164
209,164
210,164
211,164
212,164
213,164
214,164
215,164
216,164
217,164
218,164
219,164
220,164
221,164
222,164
223,164
224,164
225,164
226,165
227,165
228,165
229,165
230,165
231,165
232,165
233,165
234,165
235,165
236,165
237,165
238,165
239,165
240,165
241,165
242,165
243,165
244,165
245,165
246,165
247,165
248,165
249,165
250,165
251,165
252,165
253,165
254,165
255,165
256,165
257,165
258,165
259,165
260,165
261,165
262,165
263,165
264,166
265,166
266,166
267,166
268,166
269,166
270,166
271,166
272,166
273,166
274,166
275,166
276,166
277,166
278,166
279,166
280,166
281,166
282,166
283,166
284,166
285,166
286,166
287,166
288,166
289,166
290,166
291,166
292,166
293,166
294,167
295,167
296,167
297,167
298,167
299,167
300,167
301,167
302,167
303,167
304,167
305,167
306,167
307,167
308,167
309,167
310,167
311,167
312,167
313,167
314,167
315,167
316,168
317,168
318,168
319,168
320,168
321,168
322,168
323,168
324,168
325,168
326,168
327,168
328,168
329,168
330,168
331,168
332,169
333,169
334,169
335,169
336,169
337,169
338,169
339,169
340,169
341,169
342,169
343,169
344,169
345,169
346,169
347,170
348,170
349,170
350,170
351,170
352,170
353,170
354,170
355,170
356,171
357,171
358,171
359,172
360,172
361,172
362,172
363,173
364,173
365,173
366,173
367,174
368,174
369,175
370,175
371,176
372,177
373,177
374,177
375,178
376,179
377,179
378,180
379,180
380,182
381,182
382,186
383,186
384,190
385,192
386,210
